topic_label,negative,neutral,positive
base / identified / primary / finance,1.28,1.33,0.78
capital / operating / days / requested,2.0,,-1.42
cash / significant / capex / monitoring,1.86,,
cost / pass / demand / margin,1.51,,-1.25
covenants / test / additional / reporting,,,1.67
customer / coverage / filed / hedges,1.25,,1.3
debt / sponsor / months / ,1.44,,
delivered / qualified / compliance / missed,1.58,,
growth / raised / guidance / backlog,,-1.34,-1.37
headroom / treasury / concerns / missed,2.03,,
inventory / fell / sales / risk,1.5,,
leverage / covenant /  / ,1.76,,
limited / margins / given / rates,1.23,1.0,
margin / operating / sector / versus,1.49,,
new / rates / revenue / multiyear,,1.22,-0.11
order / backlog / guidance / sales,1.19,,
outlook / multiyear / demand / filed,1.09,,
period / elevated / debt / leverage,1.78,,-1.53
position / revolver utilization / additional / declined,2.04,,
program / weakness / volume / savings,1.4,,
risk / refinancing / financial / elevated,1.25,1.07,-1.67
sponsor / operations / fixed / fccr,1.78,,-1.61
term / committed / market / leverage,,0.21,
test / covenant / revolver utilization / utilization,1.83,,
violation / breach / fixed / coverage,1.81,,
